speaker,timestamp,End Time,words,tags
Maurice Hornocker,[00:07:16:15],00:07:47:04,"Yeah. He had sold it twice and taken earnest money, and they didn't come through with the money. It was on the market for $100,000 and I steered a couple of people I thought, who might maintain it well. And from my experience with the Craighead people who really love the land and would take care of it, and they saw it as too costly.",
Maurice Hornocker,[00:07:47:06],00:08:15:22,And so then I this idea Jess Taylor was not a conservationist. He had battled the wilderness. He hated predators. He shot eagles and coyote and anything else he thought that threatened them. He was not a conservationist. And so I was a little apprehensive and a little reluctant to approach him with such an idea. But he wanted to sell it.,wilderness
Maurice Hornocker,[00:08:15:22],00:08:46:21,"He wanted the money, and he agreed. And I have a letter, the original letter that I, I wrote him outlining the what I would view as a vision of research center there administered by the university. So he agreed to that. So I went to Moscow and Ernie Hartung was not in at the time, but I met with Ken Dick, the financial vice president.",
Maurice Hornocker,[00:08:46:23],00:09:00:08,He really liked the idea and he carried it to President Hartung. And I guess you could say the rest is history.,
Jack Kredell,[00:09:00:10],00:09:05:05,What was your your vision for Taylor?,
Maurice Hornocker,[00:09:07:05],00:09:46:00,"Woods Hole. Woods Hole. The West. An Oregon State marine biology lab. Santa Cruz Marine Lab. Independent, but affiliated. I helped set one up a quail research center in Texas. Rolling plains. Quail Research Foundation in West Texas and Independent Foundation, but affiliated with Texas A&M. Functioning beautifully. Tall Timbers, Quail Research Center in Alabama or Tennessee, rather same.",
Maurice Hornocker,[00:09:46:00],00:10:25:13,"Same. Tremendously successful. Ducks Unlimited is a little different. It's more of a public relations group and all but does a tremendous amount of good. I could see this for wilderness and wilderness species. And again, it's not just about a given species, a mountain lion or but multiple research. The biggest watershed in the United States, single roadless watershed water is soon to become more precious, that is in many other parts of the world, more precious than than gold or oil.",wilderness
Maurice Hornocker,[00:10:25:15],00:11:09:23,"And here we're sitting on the biggest single watershed in the United States. We should just be pounding the drums on that for water conservation because it's critical in a lot of parts of the world freshwater. And here we have all these pristine streams that could support a salmon steelhead population, the reproduction of that tremendous population, once again, if we could get them here because we have the spawning streams, pristine on and on all mines, there are tons of old mining shafts and all we need to be monitoring.",irrigation
Maurice Hornocker,[00:11:09:23],00:11:55:05,"Now there's a four or acid waste and and and pollution, possible pollution from those old mines. On and on the opportunities. There are endless fires. Fires are going to become more and more. I mean, we're already seeing it and here's an opportunity to after fire research and and insects. Wilbur was a great observer by all partner and when the the bark beetles came in he has an acreage there at big Creek and he observed that the the old trees died, bark beetles kill the old tree.",wildfire
Maurice Hornocker,[00:11:55:11],00:12:23:21,"Young trees thrived because they no longer had the light competition. Moisture competition from the old trees. The old trees died and fell over and rotted down. Leopold's rebuilding soil faster than it's carried away the natural system. There was a big anthill at the base of a huge Doug fir by his back door and I said, You ought to get rid of those.",
Maurice Hornocker,[00:12:23:21],00:12:46:21,"And no, they take care of all the aphids and the big fir and the aforesaid killer. If they had an opportunity. But these ants feed on the incredible. But I could go on and on and on an opportune entity.",
Jack Kredell,[00:12:46:23],00:13:07:17,One thing that I find fascinating about Taylor is how the mountain lion has been central to the interests of that place before you even. Dave Lewis.,
Maurice Hornocker,[00:13:07:22],00:13:08:14,Yeah.,
Jack Kredell,[00:13:08:16],00:13:50:09,"Had a frontier ethos wanted to eradicate. Yeah, big cats. But then and you had a conservationist ethos and it's fascinating that the flip you can see the shift in attitudes at Taylor in that it goes from a, a backcountry station for, for killing them to wanting to understand them. But the cat has always been central. Can you talk about just what makes it a special place in terms of mountain lions?",
Maurice Hornocker,[00:13:50:17],00:14:39:17,"That's. I hadn't thought of in that regard. I guess it's just the total picture of a huge wilderness area. This is centrally located in that big wilderness roadless wilderness area accessible to humans only by air or 30 miles or more trail. that and I do like to think that that our work brought attention to and not only the lions, but the lions placed in that environment that they could be the spokesperson spokes animal for wilderness.",wilderness
Maurice Hornocker,[00:14:39:19],00:15:32:21,"And yet they are so adaptable they can occur anywhere like bald eagles or a symbol of, of positive things in the environment. even though they're not nearly as majestic a bird as a golden eagle. But still, the point is there's like cows in India, cranes in Japan. The Siberian tiger in Siberia was, was almost wholly to the native people that they felt if Hama, the tiger population, was vigorous, the forest was healthy and they lived off the forest from the plants, the the fuel, the building materials, they depended on it and they revered Arbor.",
Maurice Hornocker,[00:15:32:21],00:16:23:03,"And if they member of their culture injured a tiger, bad things would happen, killed or injured or die or bad things would happen not just to that individual, but his culture, his people. And so the cultural is much stronger than political or even economic in many cases. And that's what we've tried to do, is to reach people to how could you possibly think of killing or harming such a beautiful animal, an animal that has useful a purpose in nature?",
Jack Kredell,[00:16:23:05],00:16:39:18,I think often humans want to be the wolf or be the cat in terms of their their their keystone role in regulating prey. But but they often do a bad job compared to.,wolves
Maurice Hornocker,[00:16:39:19],00:16:40:07,Yeah.,
Jack Kredell,[00:16:40:11],00:16:41:02,These yeah.,
Maurice Hornocker,[00:16:41:02],00:17:13:08,"Predators every every major work that I am aware of that we talk about balance of nature that's kind of a warm term but that there's truth in it. And look at the big reserves in Russia that for a couple, three centuries they've kept records their wolves and moose, the one we're working in, in Siberia. SOKOTO You lean on the coast, they've kept records there over the year.",wolves
Maurice Hornocker,[00:17:13:10],00:17:50:00,"There's a beautiful balance there. Serengeti in the Africa that the prey species, the antelope, the zebra that the will to be fluctuate with weather patterns, rain mainly and but the lion population fluctuates and a leopard down here at a lower level and at a lower cadence but it remains the same. And if a predator over utilizes its prey, it suffers.",
Maurice Hornocker,[00:17:50:01],00:18:21:02,"And that just doesn't happen in those those cases where we have long term records and man has an interfered. Yellowstone is a great example and that's in our book our cougars have killed elk since they've been there, but they're still there was our population of El wolves are really helped smooth that out and they just like we talked earlier, their population just zoom way up and feral but it's come back down.",wolves;cougars
Maurice Hornocker,[00:18:21:04],00:18:41:03,"Idaho's doing the same way and the management agencies claim, you know, that they're doing it with their killing and certainly they're having an effect, but that population will drop back down anyway. And it's amazing. Well, I won't go there.",
Jack Kredell,[00:18:41:05],00:18:43:21,Why not?,
Maurice Hornocker,[00:18:43:23],00:19:17:09,"We we want to kill more wolves. Our legislature, our economy, our ranching community want to kill and them know, I must say, a big portion of the hunting community because they eat elk. And yet we're killing almost record numbers of elk every year. And it was interesting, three years ago there were two groups from Salmon, Idaho, in Boise to visit with the legislature.",wolves;community
Maurice Hornocker,[00:19:17:11],00:20:01:09,"One group said, We've got to do something about these wolves. They're just killing all our game animals. The other group said, We got to do something about these elk, their best and all our fences down and eaten all our haystacks logic. But there is and it's accepted in scientific circles that that these predator prey relationships rarely new species who have evolved together one disseminate the population of the other doesn't happen introduced species is different.",wolves
Maurice Hornocker,[00:20:01:11],00:20:27:18,"You put rats on an island with seabirds and the rats will overkill the seabirds. They didn't evolve together. They don't know how to respond to it. Elk in Yellowstone at first didn't know how to respond to wolves they were sitting ducks for, but they soon learned changed their behavior. Used to be able to see several hundred cows and calves in the Tamar Valley.",wolves;growth
Maurice Hornocker,[00:20:27:21],00:20:53:11,"This time of year, you don't do that anymore. They're smaller groups and they're in the forest. This group of permanent elk here in the Wood River Valley. Now they're all up and down the valley and a lot of people feel that they're here because of the wolves brought them down off the and they're safer here in the valley than they were up there.",wolves;irrigation
Maurice Hornocker,[00:20:53:13],00:21:20:12,"I tend to agree in part with that. We've seen the same thing in Yellowstone and we have evidence for it. I mean, we're not just making observational decisions or conclusions. We have marked animals and both elk and and the cougars. So things things change. Animals adapt.",cougars
