timestamp,speaker,words,tags,highlight,timelink
,DB,OK. Do you always go for the same kind of size?,paper;future,,
,RA,"Yeah, pretty much.",paper;future,,
,DB,Pretty much?,paper;future,,
,RA,"I'd like it to be able to fit in my purse because I take it with me, and sometimes I write at a café, or, you know, someplace out in the world. So, I want to be able to stick it in my purse&#8212;",paper;future,,
,DB,Right.,paper;future,,
,RA,"&#8212;-riding the airplane, or whatever.",paper;future,,
[5:00],,"So, it's nice if it's about this size, and it's nice if it's flexible.",paper;future,,67
,DB,OK.,paper;future,,
,RA:, And it's nice if it's not expensive.,paper;future,,
,DB,"Yeah, yeah because you have to buy so many of them.",paper;future,,
,,"So, in terms of your digital files, what format do you usually work in?",files,,
,RA,.docx.,files,,
,DB,"OK, .docx.",files,,
,,"As you're working in those formats, do you save drafts of the individual documents, or do you save over those drafts?",files,,
,RA,"I mostly save over, which is not a good idea. But sometimes I have printed out drafts, and I save drafts. I probably do not save all of them, which is not great, but I save a number of them and then eventually, I'll probably give them to the library.",files;between;future,,
,DB,OK. And then you're emailing them back?,files;between;future,,
,RA,Yeah.,files;between;future,,
,DB,"So, that's sort of a draft as well?",files;between;future,,
,RA,Yeah.,files;between;future,,
,DB,And what are your naming conventions for your files?,files,,
,RA:, I just name it&#8212;I mean&#8212;whatever the title of the poem.,files,,
,DB,Whatever the title is?,files,,
,RA,Yeah.,files,,
,DB,And then if it's a draft?,files;revision,,
,RA,"I number them. Sometimes, I'll have, you know, ""such-and-such a title one,"" ""such-and-such a title two,""... But when it gets too confusing, sometimes I'll just erase the old ones. So, I'm not a very good curator of my own history that way.",files;revision,,
,DB,Yeah? And you do save some paper copies of those drafts?,,,
,RA,Yeah.,,,
,DB,OK.,,,
,,Do you back up your digital files any way?,,,
,RA,"Not as much as I should. I mean, I do have a back up on a zip drive, but I haven't backed-up for several months. So, I'm careless.",,,
,DB,"And then when you're sending these emails back and forth, is it like a Gmail or some sort of something like that?",,,
,RA,Yeah.,,,
,DB,"So, you could go back and find them that way in some way?",,,
,RA,"Yeah, yes.",,,
,DB:," So, you're not using Dropbox or any other Cloud-based&#8212;?",,,
,RA,"No. I have Dropbox, but I am not using it for this. I'm using it for a class that I've been teaching with someone.",,,
,DB,OK.,,,
,RA,"But, I could use it that way. I mean, it's something to think about.",,,
,DB,Yeah.,,,
,,"As a digital archivist, I might have some suggestions. Do you ever have files saved in more than one location?",,,
,RA,"No. Well, the zip drive and the computer hard drive.",,,
,DB,Yeah.,,,
,RA,That would be it.,,,
,DB,OK.,,,
,RA,And paper. That would be it.,,,
,DB,"And then when you're finished with a piece, how do you&#8212;is there anything special that you do for that file?",,,
,RA,"No, I pretty much know which is the finest&#8212;the final version. And if I start to get confused, like I say, I just erase the others, which is probably a bad idea, but&#8212;",,,
,DB,And then what about the final version&#8212;like the books and the journals&#8212;do you save those?,,,
,RA,"Well, what happens&#8212;this is what I do:",,,
,RA,I'm going to take these out because these new papers are not very significant. Those are copies that I took with me to give a reading somewhere. So that's why they're loose.,,,
,RA,But this is the manuscript that I'm working on now. These are really old-fashioned. These are called thesis binders. This one is all beaten up. But you can't really even buy them. You used to be able to buy them in stationary stores.,mss; paper,,
,DB,Yeah.,mss; paper,,
,RA,"Lyn Hejinian (8:26) in Berkeley knows. I guess she has a whole bunch of them. I don't think even she can get them anymore, but she doesn't use them anymore and she has a big stack, and so, she sends them to me.",mss; paper,,
,DB,"Oh, that's nice.",mss; paper,,
,RA,"So, this is really old school. But the way I use it is, it helps me order&#8212;not only keep the poems for the manuscript, but I order the manuscript this way. I mean, I kind of decide what reads well by trying the poems out in different places&#8212;",mss; paper,,
,RA,"&#8212;within this manuscript so that I don't do that thing you hear about writers doing about spreading the pages all over the floor, or all over the walls, or something.",mss; paper,,
,DB,Yeah,,,
,RA,Because I've already been deciding as I went along by where I place them in this thesis binder.,mss;revision,,
[9:09],DB,"OK. And so, will you be working on many poems at the same time?",mss;revision,,316
,RA,"No, not usually.",mss;revision,,
,DB,OK.,mss;revision,,
,RA,"Almost never. I'm kind of, you know, obsessive when I start something. I just work on it until I finish it. I mean, once in a while I give up on something for a while and set it aside, and go on to something else, and then go back to it. But I'm not actively working on two things at a time.",mss;revision;highlight,,
,DB:," OK. And so, just to be clear then, if you finish a piece, you would then go to your&#8212;you would print it out and then take it to this thesis binder, put it in a place where you think it may fit&#8212;",mss;revision;highlight,,
,RA,Yes,mss;revision;highlight,,
,DB:," &#8212;with the rest that are working, and then once you have what you would&#8212;how do you know when you have a collection, then?",mss;highlight,,
,RA,"Well, it used to be that I had a collection when I had enough poems for a book, but it seems as",mss;highlight,,
[10:00],RA,"if I'm writing more now. So, I get to make some more choices&#8212;I get to cut things&#8212;cut a manuscript down, save some things for later. So, I get to make some decisions about how the poems work with each other and it's kind of intuitive",mss;highlight,,367
,DB,OK. Have you ever received or sought out information about methods for digitally archiving your work?,,,
,RA,No.,,,
,DB,"No? OK. Those are the short answer. And I think we did cover kind of the ""nuts-and-bolts"" of your current practice, so that's good. So, in this section, we're going to kind of talk about sort of three areas of your writing talk about the different stages",,,
,RA,Sure.,,,
,DB:,"So, how long have you been writing professionally, is the question?",career,,
,RA,"Well you know&#8212;for poets, that's a hard question.",career,,
,DB,Yeah. How long have you been&#8212;,career,,
,RA,Taking it seriously?,career,,
,DB,"Yeah, maybe that's the better way of putting it.",career,,
,RA,"Since I was a senior in college, really.",career,,
,DB,OK.,career,,
,RA,"I think I had my first poem published in a national magazine shortly after I graduated from college, and then I just continued to publish in magazines. I had my first book was published when I was thirty, and I've been publishing books ever since. And I suppose that now you could say, or&#8212;hmm, when would it&#8212;? If by a professional, you mean somebody who actually makes money and has a reputation, I guess I've been in that category maybe for twenty-five years, or something.",career,,
,DB,"OK, I think I should change the question.",career,,
,RA,For poets.,career,,
[12:34],DB,"Yeah. Would you please describe, kind of, the arc of your career? Like where you started? I would say&#8212;",career,,521
,,(Phone rings),,,
,DB,"Wait for a second. If you need to answer that, it's fine.",,,
,RA,"Yeah, let me hear who it is.",,,
,DB,Sure.,,,
,RA,"Probably I don't need to answer, but if it's someone I really want to talk to&#8212;",,,
,,Bad timing.,,,
,DB,It's OK.,,,
,RA,"It ought to pick up after this, or maybe they'll give up. Of course I didn't answer. It's probably a sales call anyway.",,,
,DB,Yeah.,,,
,RA,"OK, what were you saying?",,,
,DB,"OK. So, if you wouldn't mind describing the arc of your career from when you started sort of seriously writing until now, just sort of a general overview. So, you know, just to start the interview.",career,,
,RA,Alright.,career,,
[13:24],,"I was interested in poetry since childhood. My mother read poetry to me. I wrote when I was a little kid, then I kind of stopped for a while. And then I started again in college and I was reading the poet Denise Levertov (13:37).",career,,571
,,"Oh, and I&#8212;I grew up here in San Diego, actually, and then I went to San Diego State for two years, and I was reading the poet Denise Levertov. And then I transferred to Berkeley, and she was teaching there. So, I took a class with her, and through that experience, I met my friend Ron Silliman (13:56), who's a poet&#8212;the one I send poems to, who's still a friend of mine. And then I came back here, and then I moved to San Francisco to go to grad school and he was living there. And through him and also through the grad program, I met other poets. And there was&#8212;you know, San Francisco is a good literary town. So, there was quite a community of poets in San Francisco, and I eventually was friends with poets who became&#8212;came to be known as the ""Language Poets"" (scare quotes), the West Coast Language poets anyway, which would include Barret Watten, and Bob Perelman, and Lyn Hejinian, and Kit Robinson, and Ron Silliman and Carla Harryman (14:41), among others.",career,,
,,"And I went to a lot of readings series and participated in small press publications, and had a very active literary life&#8212;like I said, publishing magazines and journals&#8212;and",career,,
[15:00],,"my first publisher was someone that we knew there. It was called the Figures Press and his name was Jeff Young. And so, that book came out in an edition of a very small press&#8212;an edition of five hundred copies, which&#8212;I gave a lot of them away to my friends and such.",career,,667
[15:25],,"And then at the end of the seventies (this was in the seventies) At the end of the seventies, I got pregnant and it just didn't seem like we were going to be able to keep living in San Francisco and raise a kid because, kind of like now&#8212;I guess it's more extreme now&#8212;but there was gentrification and yuppification going on then. And suddenly the rents were getting out of reach for us (especially if we had a kid, because you can't be so hand-to-mouth with a kid). And then my mother lived here and was willing to babysit and also Chuck got an offer of a job here that would have benefits and health insurance and all. So, we ended up back here. I was not very happy to come back here because then (and this is going to get to a topic that you like), then that was really isolating. Because that was before email, right?",career,,692
,DB,"Yeah, yeah.",career,,
,RA,"That was even before I had a computer. So, it just felt like, you know, kind of falling off a cliff. I mean, there were some poets here and I got to know them gradually&#8212;Jerome Rothenberg, and David Anton (16:22), and Michael Davidson&#8212;but not that many people of my generation really.",career,,
,,"So, I had lengthy correspondences actually on paper with the people back in San Francisco&#8212;not all of them but some of them. I can't believe it now, how much time we spent writing long letters out by hand, or typing them on typewriters.",correspondence;careeer,,
,DB,Yeah.,career,,
,RA,"It seems surreal now that everything goes so fast. I mean, who would do that? But we did. And so, some of those letters are in archives now.",career,,
[17:03],,"And meanwhile, I kept sending work out to journals. Lyn Hejinian (17:03) in the Bay Area had a small press and she published my second book which was a chap book called The Invention of Hunger.",career,,790
,DB,And what press is that?,career,,
,RA,"It was Tuumba, T-U-U-M-B-A. Kind of, you know, a letterpress. And then, my third book&#8212;which was my second full-length book–-was published by Burning Deck in Providence.",career,,
,DB,Yeah.,career,,
,RA,"So, that was my first kind of, you know, outside my immediate coterie publication.",career,,
,DB,Yeah,career,,
,RA,"Still a small press, but&#8212;",career,,
,,"&#8212;and then I started publishing with the Los Angeles publisher Sun and Moon, who also published people like Lyn Hejinian and Charles Bernstein (17:50). You know, it was a very active press then. It changed&#8212;he changed it to Green Integer, and I do have a book out on Green Integer, too&#8212;but the focus became, for him, became more re-publishing classics that had, you know, gone off copyright.",career,,
,,"So, about that time, fortuitously, I got picked up by Wesleyan. At that time I was already fairly well known, at least, in the kind of small press world. I'd been in some anthologies. But I think that being published by Wesleyan and having a selected come out with them in 2001 really kind of gave my career, so to speak, a boost, and things have just picked up since then including my pace of writing. So that, since 2001&#8212;",career,,
,,"&#8212;well, in 2001, I published two books. I published one with Green Integer called the Pretext, and then the selected with Wesleyan, which was called Veil. And then in 2004, I had Up to Speed. In 2007, I had Next Life. In 2009, I had Burst. In 2011, I had Money Shot. And then in 2013, I had Just Sayings.",career,,
,,"So, yeah.",career,,
,DB,Yeah.,career,,
,RA,A spurt.,career,,
,DB,"Yeah, that's great.",career,,
,,"And then during that time, were you supporting yourself by teaching, mostly?",career,,
,RA,"Yeah. When we first came down here, Chuck was one of the managers of the bookstore at San Diego State, and I got, about a year after we got here, I got a part-time teaching job at UC San Diego. At first, it was kind of on and off, and then after that, it was regular but adjunct.",career,,
,,"I did that for many years. It wasn't until the early 2000s that I got a, you know, ""real"" tenured job at UCSD.",career,,
[20:00],DB,"OK. So, I guess, we want to kind of move in to talking about the different ""spots"" of processes for you and how it changed over the course of your career. So, in terms of like when you first started writing seriously and were kind of doing the pre-writing, the generative work for these poems, how did that look? What was the process for that?",change;paper;highlight,,967
[20:14],RA,"Well, I think, I always used a notebook. You know, I couldn't tell you exactly what the notebooks looked like way back then, but I always wrote by hand. I think I wrote by hand then&#8212;I'm sure I did longer, took me longer to write a poem, and it also stayed in the hand-written phase longer because back then, when you left the hand-written phase, you had to go to a typewriter. You're too young to know about typewriters, but they were enormously irritating because if you made any mistakes, you had to either start over or put whiteout on it, or you know, etcetera. And then, you would make a copy. I mean, you would print it out and if you wanted another copy, you'd have to type it again. I mean, right?",change;paper;highlight,,981
,DB,Yeah.,,,
,RA,"So, I mean, there's a limit to that.",,,
,,"So, you would kind of just do without when you thought you had pretty much finished version. You might be wrong, but you know...",,,
,DB,Yeah.,,,
,RA,Still.,,,
,DB,"When you were working in the notebook, was it usually in a certain spot? Or could that be wherever you were? Was it just&#8212;",paper;prompt,,
,RA,"Well, it would&#8212;I did it a lot at home, but sometimes outside.",paper;prompt,,
,DB,Outside. And was it something where you&#8212;had a line or an idea that then you would write down?,paper;prompt,,
,RA,"Yeah, I mean, I often start that way&#8212;then, and still, you know. I can&#8212;just something that I hear or see, sort of peaks my interest. It could be something I read, and I'll write down a passage, or I'll write down something I overhear someone say, or even on television, I could hear something that I write down.",paper;prompt;highlight,,
,,And I kind of collect those things like a magpie until something starts to take off.,paper;prompt;highlight,,
,DB,"OK. And in the beginning part of your career, then, how&#8212;at what point would you go to the typewriter? Like when would you kind of feel like, ""OK, this really needs to be typed?""",between;revision,,
,RA,"Well, I guess, when I thought it was good enough to keep and good enough to maybe send a copy to someone to see what they thought, either an editor or a friend. So, that's pretty far along.",between;revision,,
,DB,Yeah.,between;revision,,
,,"So, would you&#8212;were you doing revisions within the notebook as well?",between;revision,,
,RA,Uh-hmm.,between;revision,,
,DB,"And what type of revisions did it sort of start as? I mean, was it&#8212;would you just be crossing out and rewriting? Or would you&#8212;?",between;revision,,
,RA,"I don't know if I would cross out. I think I would just, you know, go to another page and rewrite.",between;revision,,
,DB,"OK. So, when did the computer start to enter in to this process?",early,,
,RA,Let's see. When did I first get a computer?,early,,
,,"The first thing I got was one of those IBM Selectrics that was sort of computerized, where you could make&#8212;you could save, and make a number of copies. But shortly after I got that, I was able to get my first computer. So, that became sort of redundant instantly.",early,,
,,"I'm trying to think what year it was. I mean, it was probably only...when did...you tell me. When did desktops with word processing become available? It wasn't a Word. It was like Word Perfect, or Word&#8212;",early,,
,DB,Word computers.,early,,
,RA,Yeah.,early,,
,DB,"So, like mid-80's sort of?",early,,
,RA,"Yeah, maybe&#8212;",early,,
,DB,&#8212;later than that?,early,,
,RA,"&#8212;later, maybe. Yeah. I think I got that Selectric in the mid-80's, maybe, you know&#8212;I probably got the computer by the late-80's, and I don't think I got internet until&#8212;there wasn't internet that you could get until the early 90's, probably.",early,,
[23:34],DB,Yeah,early,,1181
,RA,"It's incredible now, to think!",early,,
,DB,Yeah.,early,,
,,"How did&#8212;so, how did that first computer come about? I mean, did you know a friend who had a computer and then go after that, or how'd you&#8212;?",early,,
,RA,"Yeah. I think, again, Ron Silliman (23:56) who worked in the computer industry&#8212;he worked as a marketer in the computer industry&#8212;he had one. I mean, he didn't live near me at that point, but we were in touch and he had one before I did.",early,,
,,"But I guess, you know, really, I mean everyone was getting it at about the same time.",early,,
,DB,"Uh-hmm. So, you got a computer",early,,
,RA,"I don't remember. I mean, I guess it was gradual. I still, like I say, work in notebooks but I am sure that I started going from the notebook to the computer sooner than I would have on a typewriter, I am sure. But I don't have a clear memory of it.",early,,
,,"What I do have a clear memory of is how the internet changed things. Because then you could send someone something and say, ""What do you think? I don't know about this last line, what do you think?""",change;correspondence;revision,,
,,"I mean, you could have that kind of conversation.",change;correspondence;revision,,
,DB,Yeah.,change;correspondence;revision,,
[25:00],RA,"And if you do that in a letter&#8212;which I did, but by the time you got the letter back you'd already made up your mind&#8212;",change;correspondence;revision,,1267
,DB,"Right, right. So, in the early part when you were sending these by letters, you did that only a little bit and it didn't&#8212;how did you establish&#8212;?",change;correspondence;revision,,
,RA,"I think I did. I mean, I would type something up and send it, usually to a couple of people&#8212;two or three people&#8212;and I would get responses back. But it certainly&#8212;I mean, now we're so used to kind of this instant dialogue, instant gratification. Sometimes I think that that's, you know, maybe that's why I'm writing faster now. Really, it is the stimulation of that.",change;correspondence;revision;highlight,,
,,"Because I'm still not&#8212;I guess, I'm insecure enough that I'm not comfortable in saying something is finished until somebody has said that they at least think it's interesting. I mean, it doesn't always have to be Ron. Sometimes I send it to somebody else, but I have to have, like, somebody's approval&#8212;not a 100% approval but, like, somebody has to think, ""Oh, this is OK""&#8212;before I'll put it in a book. So that's sort of an integral part of the process. So obviously, if you could do that and get an answer in a day or two, well, you know.",change;correspondence;revision;highlight,,
,DB,Yeah.,,,
,RA,Right.,,,
,DB,Right.,correspondence;revision,,
,RA,"So then I decide, at that point, whether I still need to revise.",correspondence;revision,,
,DB,"So, in the&#8212;like when the internet first starts coming and you start working, and kind of sending these things back and forth&#8212;was it just Ron Silliman (26:31) who was your kind of partner?",correspondence;revision,,
,RA,No.,correspondence;revision,,
,DB,Few more?,correspondence;revision,,
,RA,"I use to send them to more people. Lyn Hejinian, at first, and Bob Perelman, at first, and Lydia Davis, the fiction writer&#8212;she's a friend of mine. And later, Fanny Howe, too.",correspondence;revision,,
,,"Now, I mostly just send them to Ron, and once in a while, to Lydia. Very rarely to Lyn Hejinian, but still once in a while, like maybe twice a year.",correspondence;revision,,
,,"So, kind of that number of people has sort of shrunk.",correspondence;revision,,
[27:05],DB,So you're looking for some sort of affirmation?,correspondence;revision,,1392
,RA,Yeah,correspondence;revision,,
,DB,"Interesting, yeah. Do they give like specific line feedback? Or do they usually just give sort of&#8212;",correspondence;revision,,
,RA,Ron does.,correspondence;revision,,
,DB:, OK.,correspondence;revision,,
,RA,"I mean, it all&#8212;I could show you. This, I guess, is the kind of&#8212;my screen is dirty&#8212;kind of thing you might want to see.",correspondence;revision,,
,,"So, let me go to my ""Mail,"" and I'll go to my&#8212;",correspondence;revision,,
,DB,Sure.,correspondence;revision,,
,RA,"&#8212;""Sent Mail,"" and you can see some of these.",correspondence;revision,,
,,"Oh, this actually has to do with the internet.",correspondence;revision,,
,,"I sent Ron a poem that mentions messages I was getting&#8212;it's actually in a poem from mileage.com&#8212;that I thought were funny. Well, so, Ron writes back. He said, ""Not sure you need the Q and A at the end""&#8212;I had a sort of ""interviewing myself"" bit at the end&#8212;""Not sure you need the Q and A at the end, but other than the problems with the url""&#8212;he thought that since I was saying Mileage.com, which he says is a phishing site &#8212;he thought that, if that was ever published in an online journal, and somebody hit on it, clicked it, that I could be in trouble for that, which I don't know if that's true. He says, ""You know that mileage.com is a phishing site. It sends malware to your PC if you follow through."" And then I, at some point, wrote back. I said, ""I don't do that.""",correspondence;revision,,
,RA:,"So, you know, that's just some of the kinds of&#8212;so there I am, there I am sending something to him and having a correspondence with him.",correspondence;revision,,
,,Let's see.,,,
,,"Here I am sending something to myself, just to kind of preserve it. Same poem but it has a different title with that point&#8212;there is mileage.com lit up.",,,
,DB,"Oh, yeah!",,,
,RA,"Yeah, because it lights up if you&#8212;it doesn't on my computer, but it does if you do it on the iPad.",,,
,DB,It does it in Apple.,,,
,RA,Yeah.,,,
,DB:," Right! So, did you write that on your iPad?",,,
,RA,"Well, like always, I started here and I moved it to the iPad, and then I moved it to the computer&#8212;-but I was sending&#8212;I think I start writing&#8212;usually, I write in the morning, sitting over there. And I don't want to be running up and down the stairs, so then after I'll just go, ""You know, this looks good enough to kind of type."" So, I'll type it here. And if I don't yet feel like sharing it with someone, I'll just send it to myself because that's a way of saving it.",prompt;revision;highlight,,
,DB,And that's when you could move it to your&#8212;,prompt;revision;highlight,,
,RA,Yeah,prompt;revision;highlight,,
,DB,&#8212;other computer?,prompt;revision;highlight,,
,RA,Uh-hmm.,prompt;revision;highlight,,
,DB,And so when did you start using the iPad?,prompt;revision;highlight,,
[30:00],RA,"Gee, again, I got an iPhone maybe three years ago, and I got the iPad maybe two years ago. I don't know. Time's a blur.",prompt;revision;highlight,,1567
,DB,Okay. So&#8212;,,,
,RA,"It's an old one, though.",,,
,DB,"So it's been a couple years, two or three years. Did you ever work on the iPhone, too?",,,
,RA,"No, too tiny.",,,
,DB,Too small of a typing format.,,,
,,"So then, back to the revision correspondence. Do you think that&#8212;why do you think that Ron Silliman (30:29) has kind of been the constant of all that?",correspondence;revision,,
[30:33],RA,"Well, because he's very confident about what he says, first of all, and he's also very specific. He doesn't always say why he thinks what he thinks, which drives me crazy, but he gives me something to bounce off.",correspondence;revision,,1833
,DB,"Yeah, and is he very prompt in responding?",correspondence;revision,,
,RA,"Often. Not always. Sometimes it's right away, sometimes it's not for days, depends on how busy he is.",correspondence;revision,,
,DB,"Yeah, and does he reciprocate? Does he send you things over?",correspondence;revision,,
,RA,He never has. He doesn't like to do that. Other people have.,correspondence;revision,,
,,"So, you know, that's fine with me, but&#8212;he writes really, really long, kind of book-length things, and he doesn't revise much. He doesn't revise like I do. He just has a different kind of practice, and he seems to be very invested in his own certainty about things more than I am. But some other people will send me things. Lydia Davis sends me things and Fanny Howe (31:25) once in awhile sends me things.",correspondence;revision,,
,DB,"And how did you kind of develop your revision process, from the beginning, I guess?",revision;highlight,,
,RA,"Well, I guess, I was just always looking for the best word, for instance, and it didn't always come to me right away. But also I will just get parts of things and I know that they're not finished, you know, and then I just try to see what can connect and I'll go one way, one direction and try to connect, you know, B to A. And then B doesn't quite connect to A, so then I'll go on to C and see if that connects to A.",revision;highlight,,
,DB,And has that been pretty constant throughout?,,,
,RA,Yeah.,,,
,DB,OK.,,,
,,Have there been any big changes in the way you've approached kind of pushing the poem to its finished state throughout the time?,change;revision,,
,RA,"Well, I bet there have, but you know, I was as much of a stranger to my twenty-four year-old self as you are, almost.",change;revision,,
,DB,"Well, you did mention, though, that with the internet and with email becoming more&#8212;giving more easily available correspondence&#8212;you did start to speed up in the work. And do you think that's the only reason, or do you think it also has something to do with maybe moving onto more of a national scene?",change;revision,,
,RA,"It could be that. It could be knowing that I have a supporting publisher. It could be just practice, you know, just that I have a better idea of what works now, you know&#8212;what works for me.",change;revision,,
[33:00],DB,Yeah.,change;revision,,1747
,,"And I know you don't&#8212;I think in one of your other interviews you said you don't really have, like, any intentions in revising your work, but are there primary things for different pieces that you're driven by? Like, are some driven more by sound, some driven more by meaning, some driven more by connecting the parts to the whole or disconnecting the parts to the whole?",change;revision,,
,RA,"All of those things equally, you know. I mean, I am very interested in sound, and sounds&#8212;certain sounds can really bother me, or I could get stuck on one certain sound. So yeah, meaning is important to me, too. In terms of connecting parts because, as you know, if you've looked at my work, it often&#8212;",change;revision,,
,DB,&#8212;in sections?,change;revision,,
,RA,&#8212;in sections.,change;revision,,
,DB,"Yeah, absolutely.",change;revision,,
,RA,"And so, the sections might be written on different days; often are. And they often come from different sources or different inspirations, and&#8212;so then, the question is how they link in. And you kind of&#8212;at least if you're me, I shouldn't say ""you"", but ""I""&#8212;want there to be some kind of possible perceptible connection, but I also want it to be surprising. I want it to kind of go somewhere that you didn't expect it to go, or that I didn't expect it to go. So, sometimes the first thing I come up with is too obvious and sometimes what I come up with is too random. It's like Goldilocks and the Three Bears.",change;revision;higlight,,
,DB,"Has that sort of looking for that surprising turn, or idea, been a constant throughout? I mean, has that been something that's been driving you since you started writing?",change;revision;higlight,,
,RA,"I've probably become more conscious of it, but I think so, yeah.",change;revision;higlight,,
,DB,"And how do&#8212;so, could you talk a little bit about how, as you say, a lot of your poems are in sections and how those sections kind of come to be a whole? I mean, could there be several different days, and then in between those different sections become different poems?",change;revision;higlight,,
[35:00],RA,"Sometimes that happens, yeah. I mean&#8212;",change;revision;higlight,,1867
,DB,Is it just a&#8212;do you just start to see connections? Does it&#8212;?,change;revision;higlight,,
,RA,"Yeah, and sometimes I have an idea of what I want vaguely, but I don't know exactly where I'm going to get it or what the specifics are. But I&#8212;sometimes I have just a gut feeling about the direction that I want to go, and other times I don't, and then I just have to be surprised and just know that I want something and should keep my eyes open for it.",change;revision;higlight,,
,DB,"And do you&#8212;I mean, there's a certain point where you say within the emails that you get some sort of affirmation. But then personally, when do you feel like a sense of, ""Oh! That's surprising!"" Is there like an ""Aha!"" moment?",change;revision;higlight,,
,RA,"Yeah, sure.",change;revision;higlight,,
,,"Yeah, you have to please yourself first.",change;revision;higlight,,
,DB,Yeah.,change;revision;higlight,,
,RA,"And I think one reason that I tend to send poems out is that I will be dissatisfied and fool with things forever unless somebody goes, ""Hey, that's good.""",change;revision;higlight,,
,DB,Yeah.,change;revision;higlight,,
,RA,"I mean, I'll go, ""Maybe it's not good. Maybe I should do something else."" So, you know, I think that's why I need somebody to give me a kind of endpoint and say, ""Cut it out now.""",change;revision;higlight,,
,DB,Yeah.,change;revision;higlight,,
,RA,"I mean, sometimes I know, but sometimes I can be insecure and just fiddle.",change;revision;higlight,,
,DB,"Right. And then I guess is there any way&#8212;do you, once the poem kind of reaches the thesis binder stage, is there any time that you start to see the ways those are working and go back and revise there? Or once it's there it's usually kind of off limits?",revision;mss,,
