title,creator,description,date,subject-lcsh,subject,relation,contributing institution,publisher digital,digital collection website,source,identifier,publisher,format original,type,format,digitization specifications,rights,rightsstatement,language,date digital,coverage,latitude,longitude,full text,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
The Washington Water Power Company,"Curtis, Albert B. (Albert Bruce), 1903-1985","A letter to K.M. Robinson from Bert Curtis, discussing the congressional bill on Trinity River",1955-12-22,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Robinson, K.M.; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-017,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/21,21,22.cpd,/dworshak/supp/21/index.pdf,dworshak21
Letter to Bert Curtis,Bill,A letter to Bert Curtis relating information on the Bruces Eddy partnership project.,1955-07-13,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak, Henry Clarence, 1894-1962;","Dworshak, Henry Clarence; Curtis, Bert;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-014,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/23,23,24.cpd,/dworshak/supp/23/index.pdf,dworshak23
Bruces Eddy Bill,"Smith, Allan A.",Cover letter for the Bruces Eddy Bill,1956-01-05,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",Bruces Eddy;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-020,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/25,25,26.cpd,/dworshak/supp/25/index.pdf,dworshak25
Letter to Dennis Chavez,"Stevens, Robert T.",A draft[?] of a letter from Robert T. Stevens to Dennis Chavez.,1955-06-01,"Chavez, Dennis, 1888-1962--Correspondence;Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Chavez, Dennis;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-009,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/28,28,29.cpd,/dworshak/supp/28/index.pdf,dworshak28
Letter from Oliver A. Lewis,"Lewis, Oliver A.",A handwritten letter from Oliver A. Lewis to Bert Curtis.,1955-06-02,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Lewis, Oliver A.",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-012,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/31,31,32.cpd,/dworshak/supp/31/index.pdf,dworshak31
Letter to Sylvia Harrell,"Curtis, Albert B. (Albert Bruce), 1903-1985","A letter form Bert Curtis to Silvia Harrell of the Lewiston Morning Tribune, which constitutes a stement regarding the Bruces Eddy project",1955-09-03,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-016,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/34,34,35.cpd,/dworshak/supp/34/index.pdf,dworshak34
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",1955-04-19,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;","Curtis, Bert; Jordan, Len; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-003,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/37,37,38.cpd,/dworshak/supp/37/index.pdf,dworshak37
Congressional Resolution,,"Congress authorizes the Secretary of the Interior to construct, operate and maintain the Trinity River division, Central Valley project, California, under Federal reclamation laws.",1955-07-13,,,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-015,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/41,41,42.cpd,/dworshak/supp/41/index.pdf,dworshak41
Response to the Bruces Eddy Bill,"Curtis, Albert B. (Albert Bruce), 1903-1985",A response to the Bruces Eddy Bill from Bert Curtis,1956-01-09,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",Bruces Eddy;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-021,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/43,43,44.cpd,/dworshak/supp/43/index.pdf,dworshak43
Bruces Eddy Bill,,A draft for a bill to provide for the construction of Bruces Eddy,1956-01-04,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",Bruces Eddy;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-019,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/48,48,49.cpd,/dworshak/supp/48/index.pdf,dworshak48
Letter from Senator Richard L. Neuberger,"Neuberger, Richard L.","A Letter to Bert Curtis from Senator Richard L. Neuberger discussing """"user charges"""" for navigation. Attached is a  copy of the congressional record for June 22, 1955, proceedings of the 84th congress, sent to Bert Curtis.",1955-06-29,"Neuberger, Richard L. (Richard Lewis), 1912-1960--Correspondence; Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Neuberger, Richard L.; Curtis, Bert;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-011,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/53,53,54.cpd,/dworshak/supp/53/index.pdf,dworshak53
Response to the Bruces Eddy Bill,"Smith, Allan A.",A response to the Bruces Eddy Bill to Bert Curtis,1956-01-11,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",Bruces Eddy;,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-022,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/55,55,56.cpd,/dworshak/supp/55/index.pdf,dworshak55
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985",Burt Curtis lobby's for the speedy construction of Bruces Eddy and Penny Cliffs.,1956-02-20,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;","Curtis, Bert; Jordan, Len; Penny Cliffs; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-023,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/57,57,58.cpd,/dworshak/supp/57/index.pdf,dworshak57
Forgotten legistlation,"Curtis, Albert B. (Albert Bruce), 1903-1985",A letter from Bert Curtis regarding the division between federal and private utility authority over Bruces Eddy.,1956-03-08,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-024,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/59,59,60.cpd,/dworshak/supp/59/index.pdf,dworshak59
Message to Nixon,"Curtis, Albert B. (Albert Bruce), 1903-1985","A message from Bert Curtis to Vice President Nixon, demanding the introduction of the Bruces Eddy project.",1956-03-09,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Nixon, Richard, 1913-1994;","Curtis, Bert; Nixon, Richard; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-025,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/61,61,62.cpd,/dworshak/supp/61/index.pdf,dworshak61
Reply to Curtis from the Office of the Vice President,"King, Robert L.",A response to Bert Curtis's letter to the Vice President,1956-03-15,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Nixon, Richard, 1913-1994;","Curtis, Bert; Nixon, Richard; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-026,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/63,63,64.cpd,/dworshak/supp/63/index.pdf,dworshak63
A copy of the Bruces Eddy project bill,"Curtis, Albert B. (Albert Bruce), 1903-1985","A copy of the Bruces Eddy Project Bill, with handwritten revisions by Bert Curtis",1956-03-19,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;","Curtis, Bert; Bruces Eddy;",MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-027,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/p ublicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),,,,,,2018-05-15,2018-05-15,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/66,66,67.cpd,/dworshak/supp/66/index.pdf,dworshak66
