objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
example_011,example_008,Outside shot of Hells Half Acre Lookout ,Keeping Watch,2021-07-13,,Outside shot of Hells Half Acre Lookout ,,Hell's Half Acre,45.64579,-114.62838,,,image;stillimage,image/jpeg,eng,,,image,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/outside_shot_hells_half.JPG,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/outside_shot_hells_half_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/outside_shot_hells_half_th.jpg
example_012,example_008,Patrick McMarron Discusses the Importance of Human Beings on the Lookout,Keeping Watch,2021-07-13,,Video of Patrick McMarron discussing the importance of human beings staffing fire lookouts,Patrick McMarron; Hell's Half Acre,Hell's Half Acre,45.64579,-114.62838,,,image;MovingImage,video/mp4,eng,,,video,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/Patrick_the_human_being.mp4,,
peeled-tree,,Peeled Tree ,,,,Example multiple. A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe. ,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,record,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0136_th.jpg
peeled-tree01,peeled-tree,Peeled Tree View 1,,,,,,,,,,,,,,,,,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0136.jpg,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0136_th.jpg
peeled-tree02,peeled-tree,Peeled Tree View 2,,,,,,,,,,,,,,,,,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0137.JPG,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0137_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0137_th.jpg
peeled-tree03,peeled-tree,Peeled Tree View 3,,,,,,,,,,,,,,,,,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0138.JPG,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0138_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0138_th.jpg
example_013,,Hell's Half Acre Lookout 360 Image,Keeping Watch,2021-07-13,,Panorama example. 360 Image of the Interior of Hell's Half Acre Fire Tower,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,panorama,/objects/hells_half_theta.JPG,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/hells_half_theta_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/hells_half_theta_th.jpg
example_014,,"Spokane's Great Restaurant, Washington",Edward H. Mitchell,1909,,"Example postcard using display template 'multiple.' Postcard is of the Davenport Hotel's Restaurant in Spokane, Washington.",restaurants; automobiles; buildings; picture postcards; flagpoles; flags,"Spokane, WA",47.65710758,-117.4249084,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Postcard_038,record,postcard,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg
example_015,example_014,postcard front,,,,,,,,,,210a,,,,,,,/objects/210a.jpg,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg
example_016,example_014,postcard back,,,,,,,,,,210b,,,,,,,/objects/210b.jpg,/objects/small/210b_sm.jpg,/objects/thumbs/210b_th.jpg
jennie-eva-hughes,,,,1899,yes,"Example compound object. Items from the Black History at University of Idaho that feature Jennie Eva Hughes, the first black graduate of the University of Idaho",Jennie Eva Hughes;student organizations; Juneteenth,,46.725562,-117.009633,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",,record,compound_object,eng,,,compound_object,,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_001_th.jpg
mg5758_001,jennie-eva-hughes,Portrait of Jennie Eva Hughes [1],,1899,yes,Black and white portrait of Jennie Eva Hughes.,Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",mg5758_001,image;stillimage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_001_th.jpg
mg5758_002,jennie-eva-hughes,Portrait of Jennie Eva Hughes [2],,1899,yes,Black and white standing portrait of Jennie Eva Hughes dressed in white. Hughes holds a scroll in her left hand.,Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",mg5758_002,image;stillimage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_002_th.jpg
mg5758_003,jennie-eva-hughes,"""The Uncrowned King"" by Jennie Eva Hughes",Jennie Eva Hughes,1898-04-15,,"This speech won her the medal oration on April 15, 1898 at University of Idaho.",Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",mg5758_003,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_003_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_003_th.jpg
mg5758_004,jennie-eva-hughes,Spokesman article about Jennie Eva Hughes' oration win,The Spokesman-Review,1898,yes,Spokesman-Review article about the oratorical event event and Jennie Eva Hughes' win.,Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",mg5758_004,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_004_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_004_th.jpg
pg2_110_1,jennie-eva-hughes,University of Idaho class of 1899,,1898,yes,"Back row (left to right): Fred Merriam, Clara Playfair, Eva Nichols, Clem Herbert, Guy Wolfe, Ava Sweet, Fred Moore. Front row (left to right): Kate Hanley, Maude Mix, Charles Armstrong, Will Stillinger, Jennie Eva Hughes, Gilbert Hogue.",Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",pg2_110_1,image;stillimage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/pg2_110_1_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/pg2_110_1_th.jpg
ma2000_29_001,jennie-eva-hughes,Jennie Eva Hughes' 1898 registration card at University of Idaho,,1898-09-23,,Jennie Eva Hughes' registration card for 1899 for the University of Idaho.,Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",ma2000_29_001,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_001_th.jpg
ma2000_29_002,jennie-eva-hughes,Jennie Eva Hughes' 1899 registration card at University of Idaho,,1899-02-15,,Jennie Eva Hughes' registration card for 1898 for the University of Idaho.,Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",ma2000_29_002,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_002_th.jpg
labor_acknowledgement,jennie-eva-hughes,Idaho African American Labor Acknowledgement ,"Sydney Freeman, Jr. ",2022-06-19,,"Labor Acknowledgement presented by Dr. Sydney Freeman, Jr. at the 1st Annual Juneteenth celebration hosted by the City of Moscow at Friendship Square-Downtown.",Juneteenth; Jennie Eva Hughes,,,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",labor_acknowledgement.jpg,Image;StillImage,image/jpeg,eng,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/labor_acknowledgement.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/labor_acknowledgement_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/labor_acknowledgement_th.jpg
arg-1899-06-01_p181-innovation,jennie-eva-hughes,Innovation of Class Day,,1899-06-01,,Argonaut article about Class Day with mention of the oration given by Jennie Eva Hughes.,Jennie Eva Hughes,"Moscow, ID",,,"Black History at the University of Idaho Digital Collection, https://www.lib.uidaho.edu/blackhistory/",arg-1899-06-01_p181-innovation,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/jennie-eva-hughes,https://www.lib.uidaho.edu/blackhistory/objects/small/arg-1899-06-01_p181-innovation_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/arg-1899-06-01_p181-innovation_th.jpg
