objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
demo_011,demo_008,Outside shot of Hells Half Acre Lookout,Keeping Watch,2021-07-13,,Example child object. Outside shot of Hells Half Acre Lookout,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,image,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/outside_shot_hells_half.JPG,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/outside_shot_hells_half_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/outside_shot_hells_half_th.jpg
demo_012,demo_008,Patrick McMarron Discusses the Importance of Human Beings on the Lookout,Keeping Watch,2021-07-13,,Example child object. Video of Patrick McMarron discussing the importance of human beings staffing fire lookouts,Patrick McMarron; Hell's Half Acre,Hell's Half Acre,45.64579,-114.62838,,,Image;MovingImage,video/mp4,eng,,,video,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/Patrick_the_human_being.mp4,,
demo_013,,Peeled Tree,,,,Example multiple. A cross section of a peeled tree from the Payette National Forest. The inner bark was utilized as a food resource by Indigenous Tribe.,Peeled Tree; Payette National Forest; Indigenous Tribe,,,,,,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0136_th.jpg
demo_014,demo_013,Peeled Tree View 1,,,,,,,,,,,,,,,,,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0136.jpg,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0136_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0136_th.jpg
demo_015,demo_013,Peeled Tree View 2,,,,,,,,,,,,,,,,,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0137.JPG,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0137_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0137_th.jpg
demo_016,demo_013,Peeled Tree View 3,,,,,,,,,,,,,,,,,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0138.JPG,https://webpages.uidaho.edu/Library/twrs/objects/small/dsc_0138_sm.jpg,https://webpages.uidaho.edu/Library/twrs/objects/thumbs/dsc_0138_th.jpg
demo_017,,Hell's Half Acre Lookout 360 Image,Keeping Watch,2021-07-13,,Example panorama. 360 Image of the Interior of Hell's Half Acre Fire Tower,,Hell's Half Acre,45.64579,-114.62838,,,Image;StillImage,image/jpeg,eng,,,panorama,/objects/hells_half_theta.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/small/hells_half_theta_sm.jpg,https://cdil.lib.uidaho.edu/keeping-watch/objects/thumbs/hells_half_theta_th.jpg
demo_018,,"Spokane's Great Restaurant, Washington","Mitchell, Edward H.",1909,,"Example postcard using display template 'multiple.' Postcard is of the Davenport Hotel's Restaurant in Spokane, Washington.",restaurants; automobiles; buildings; picture postcards; flagpoles; flags,"Spokane, WA",47.65710758,-117.4249084,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Postcard_038,record,postcard,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg
demo_019,demo_018,postcard front,,,,,,,,,,210a,,,,,,,/objects/210a.jpg,/objects/small/210a_sm.jpg,/objects/thumbs/210a_th.jpg
demo_020,demo_018,postcard back,,,,,,,,,,210b,,,,,,,/objects/210b.jpg,/objects/small/210b_sm.jpg,/objects/thumbs/210b_th.jpg
demo_021,,"Jennie Eva Hughes, the First Black Graduate of the University of Idaho",,1899,yes,"Example compound object. Items from the Black History at University of Idaho that feature Jennie Eva Hughes, the first black graduate of the University of Idaho",Jennie Eva Hughes; Black History; University of Idaho,"Moscow, ID",46.725562,-117.009633,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,,record,compound_object,eng,,,compound_object,,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_001_th.jpg
demo_022,demo_021,Portrait of Jennie Eva Hughes [1],,1899,yes,Example child object. Black and white portrait of Jennie Eva Hughes.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_001,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_001.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_001_th.jpg
demo_023,demo_021,Portrait of Jennie Eva Hughes [2],,1899,yes,Example child object. Black and white standing portrait of Jennie Eva Hughes dressed in white. Hughes holds a scroll in her left hand.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_002,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_002.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_002_th.jpg
demo_024,demo_021,"""The Uncrowned King"" by Jennie Eva Hughes","Hughes, Jennie Eva",1898-04-15,,"Example child object. This speech won her the medal oration on April 15, 1898 at University of Idaho.",,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_003,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_003.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_003_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_003_th.jpg
demo_025,demo_021,Spokesman article about Jennie Eva Hughes' oration win,The Spokesman-Review,1898,yes,Example child object. Spokesman-Review article about the oratorical event event and Jennie Eva Hughes' win.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,mg5758_004,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_004.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_004_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_004_th.jpg
demo_026,demo_021,University of Idaho class of 1899,,1898,yes,"Example child object. Back row (left to right): Fred Merriam, Clara Playfair, Eva Nichols, Clem Herbert, Guy Wolfe, Ava Sweet, Fred Moore. Front row (left to right): Kate Hanley, Maude Mix, Charles Armstrong, Will Stillinger, Jennie Eva Hughes, Gilbert Hogue.",,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,pg2_110_1,Image;StillImage,image/jpeg,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/blackhistory/objects/pg2_110_1.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/pg2_110_1_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/pg2_110_1_th.jpg
demo_027,demo_021,Jennie Eva Hughes' 1898 registration card at University of Idaho,,1898-09-23,,Example child object. Jennie Eva Hughes' registration card for 1898 for the University of Idaho.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,ma2000_29_001,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_001.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_001_th.jpg
demo_028,demo_021,Jennie Eva Hughes' 1899 registration card at University of Idaho,,1899-02-15,,Example child object. Jennie Eva Hughes' registration card for 1899 for the University of Idaho.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,ma2000_29_002,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_002.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_002_th.jpg
demo_029,demo_021,Innovation of Class Day,,1899-06-01,,Example child object. Argonaut article about Class Day with mention of the oration given by Jennie Eva Hughes.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,arg-1899-06-01_p181-innovation,text,application/pdf,eng,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,pdf,https://www.lib.uidaho.edu/blackhistory/objects/arg-1899-06-01_p181-innovation.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/arg-1899-06-01_p181-innovation_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/arg-1899-06-01_p181-innovation_th.jpg
demo_030,demo_021,The First Black Graduate - Jennie Eva Hughes,"Shannon, Michelle",2022,,Example child object. Article summarizing the history of Jennie Eva Hughes at the Univeritiy of Idaho.,,,,,<a href='https://www.lib.uidaho.edu/blackhistory/' target='_blank'>Black History at the University of Idaho Digital Collection</a>,https://www.lib.uidaho.edu/blackhistory/features/hughes.html,text,text/html,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,record,https://www.lib.uidaho.edu/blackhistory/features/hughes.html,/objects/small/hughes_article_sm.jpg,/objects/thumbs/hughes_article_th.jpg
